Profile_id,Layer,Horizon code,Start (cm),End (cm),Organic Matter (%),Clay (<2 mu) (%),Silt (2-50 mu) (%),Loam (=silt+clay) (%),Sand (>50mu) (%),Median of sand fraction (mu),pH-KCl,CEC (mmol/kg),Ca-exch (mmol/kg),K-exch (mmol/kg),kationen Na-uit (mmol/kg),kationen Mg-uit (mmol/kg),Total P (mg P2O5/kg),Carbon (%),Total N(%),Bulk density (g per cm3),Laboratory code,Org. matter method,pH method,CEC method,Ca Mg method,Na K method,Total P method,Carbon Method,Total N method,Texture method (m = measurement; s = hand estimate),Soil Classification code,Soil map legend code,X,Y,Year
181,3,1Cy,40,50,0.1,5,8,13,88,130,4.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,5v422,Zb,194780,363200,1965
181,4,1Cg1,70,80,0,5,3,8,92,130,4.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,5v422,Zb,194780,363200,1965
198,1,1Ap,0,30,2.5,4,13,17,84,140,5.6,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,4i422,pZn,170070,366240,1968
198,2,1Cu,30,55,0.1,3,9,12,89,140,6.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,4i422,pZn,170070,366240,1968
198,3,1Cg,55,80,0,8,12,20,81,140,5.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,4i422,pZn,170070,366240,1968
198,4,1Cgr1,80,95,0.1,5,17,22,79,115,5.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,4i422,pZn,170070,366240,1968
198,5,1Cgr2,95,120,0.1,4,11,15,86,170,5.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,4i422,pZn,170070,366240,1968
236,1,1Aap,0,20,2.9,6,11,17,84,140,4.9,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,135,2,,,,,,39,m,c4h422,pZg,61500,362680,1962
236,2,1Aag,20,40,2.6,4,8,11,88,140,4.1,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,135,2,,,,,,39,m,c4h422,pZg,61500,362680,1962
236,3,1Cg1,40,80,0.4,1,6,7,93,140,4.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,c4h422,pZg,61500,362680,1962
236,4,1Cg2,80,120,0.2,2,3,5,95,150,4.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,c4h422,pZg,61500,362680,1962
241,1,1Apg,0,28,2,33,48,81,20,80,7.3,-99,-99,-99,-99,-99,-99,1.2,-99,-99,BL,134-2,2,,,,,136,,m,M5p315a,Mn,61210,374300,1972
241,2,1Cg,28,60,1.9,43,50,93,7,-99,7.4,-99,-99,-99,-99,-99,-99,0.8,-99,-99,BL,134-2,2,,,,,136,,m,M5p315a,Mn,61210,374300,1972
241,3,2Cg1,60,90,0.9,13,38,51,50,80,7.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p315a,Mn,61210,374300,1972
241,4,2Cg2,90,120,0.5,8,21,29,71,90,8.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p315a,Mn,61210,374300,1972
255,1,1Ap1,0,16,2.4,7,25,32,69,145,4.9,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,135,2,,,,,,39,m,4k422,pZg,54800,361280,1961
255,2,1Ap2,16,23,2.2,7,9,16,86,145,4.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,4k422,pZg,54800,361280,1961
255,3,1ACg,23,28,1.9,6,9,15,86,145,4.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,4k422,pZg,54800,361280,1961
255,4,1Cg1,28,32,0.6,14,3,17,84,-99,4.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,4k422,pZg,54800,361280,1961
255,5,1Cg2,32,50,0.1,3,4,7,94,-99,4.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,4k422,pZg,54800,361280,1961
255,6,1Cg3,50,100,0.2,2,2,3,97,-99,4.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,4k422,pZg,54800,361280,1961
277,1,1Ap,0,30,1.7,28,54,82,18,85,6.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p315a,Mn,52100,363540,1961
277,2,1Cg1,30,45,0.9,28,62,90,11,80,6.9,-99,215,5,6,15,-99,-99,-99,-99,BL,135,2,,130B,130A,,,,m,M5p315a,Mn,52100,363540,1961
