Profile_id,Layer,Horizon code,Start (cm),End (cm),Organic Matter (%),Clay (<2 mu) (%),Silt (2-50 mu) (%),Loam (=silt+clay) (%),Sand (>50mu) (%),Median of sand fraction (mu),pH-KCl,CEC (mmol/kg),Ca-exch (mmol/kg),K-exch (mmol/kg),kationen Na-uit (mmol/kg),kationen Mg-uit (mmol/kg),Total P (mg P2O5/kg),Carbon (%),Total N(%),Bulk density (g per cm3),Laboratory code,Org. matter method,pH method,CEC method,Ca Mg method,Na K method,Total P method,Carbon Method,Total N method,Texture method (m = measurement; s = hand estimate),Soil Classification code,Soil map legend code,X,Y,Year
3657,5,1Cg2,85,120,0.2,1,0,1,99,225,4.8,9,1,1,1,1,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,5v511,Zb,207190,502975,1989
3663,1,1Ap1,15,20,5.2,15,41,56,44,70,7.1,-99,-99,-99,-99,-99,-99,2.6,0.3,1.278,BL,134-2,2,,,,,136,39,m,M4o225a,pMn,140750,518450,1981
3663,2,1Ap2,36,41,2.7,17,40,57,43,70,7.2,-99,-99,-99,-99,-99,-99,1.2,0.2,1.391,BL,134-2,2,,,,,136,39,m,M4o225a,pMn,140750,518450,1981
3663,3,1ACwg,47,52,1.3,10,48,57,43,70,7.7,-99,-99,-99,-99,-99,-99,0.5,0.1,1.44,BL,134-2,2,,,,,136,39,m,M4o225a,pMn,140750,518450,1981
3663,4,1Cwg,68,73,0.6,5,46,51,49,70,7.9,-99,-99,-99,-99,-99,-99,-99,-99,1.476,BL,134-2,2,,,,,,,m,M4o225a,pMn,140750,518450,1981
3663,5,1Cg,98,103,0.5,8,42,50,50,75,7.9,-99,-99,-99,-99,-99,-99,-99,-99,1.473,BL,134-2,2,,,,,,,m,M4o225a,pMn,140750,518450,1981
3671,2,1Apg2,23,28,5,38,45,83,18,65,5.1,298,227,6,4,41,-99,-99,0.2,-99,BL,135,2,128B,130B,130A,,,39,m,M4p323c,pMn,131510,522010,1961
3671,3,1Cwg,32,44,0.8,45,49,94,6,-99,5.5,284,200,6,6,47,-99,-99,-99,-99,BL,135,2,128B,130B,130A,,,,m,M4p323c,pMn,131510,522010,1961
3671,5,1Cg1,62,75,0.6,53,47,100,0,-99,7,286,217,7,11,39,-99,-99,-99,-99,BL,135,2,128B,130B,130A,,,,m,M4p323c,pMn,131510,522010,1961
3674,1,1Apg1,5,15,13.7,33,44,77,23,70,6.1,-99,-99,-99,-99,-99,2,-99,0.7,-99,BL,134-2,2,,,,23,,39,m,M4p325a,pMn,136150,521150,1968
3674,2,1Apg2,15,24,13.2,38,44,82,18,70,6.2,-99,-99,-99,-99,-99,2,-99,0.7,-99,BL,134-2,2,,,,23,,39,m,M4p325a,pMn,136150,521150,1968
3674,3,1ACg,24,33,5.3,52,44,96,5,-99,6.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M4p325a,pMn,136150,521150,1968
3674,4,1Cwg1,33,48,2.3,48,47,95,6,-99,7.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M4p325a,pMn,136150,521150,1968
3674,5,1Cwg2,48,68,1.5,41,45,86,14,65,7.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M4p325a,pMn,136150,521150,1968
3674,6,1Cg,68,93,0.8,17,50,67,34,70,7.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M4p325a,pMn,136150,521150,1968
3674,7,1Cgr,93,130,0.8,12,27,39,61,70,8.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M4p325a,pMn,136150,521150,1968
3681,1,1Ap,0,23,13.9,18,38,56,44,75,5.7,-99,-99,-99,-99,-99,2,-99,0.8,-99,BL,134-2,2,,,,23,,39,m,M4p235b,pMn,135400,522260,1968
3681,2,1Cwg,23,30,3.6,39,45,84,17,70,6.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M4p235b,pMn,135400,522260,1968
3681,3,1Cg1,30,46,0.8,14,43,57,45,70,7.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M4p235b,pMn,135400,522260,1968
3681,4,1Cg2,46,55,1.6,32,47,79,22,65,7.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M4p235b,pMn,135400,522260,1968
3681,5,1Ahb,55,60,8,23,50,73,28,65,7.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M4p235b,pMn,135400,522260,1968
3681,7,1Cg4,68,80,1.2,35,47,82,18,65,7.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M4p235b,pMn,135400,522260,1968
3681,8,1Cg5,80,90,0.7,17,33,50,50,70,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M4p235b,pMn,135400,522260,1968
3681,9,1Cg6,90,98,1.3,33,42,75,25,70,7.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M4p235b,pMn,135400,522260,1968
3681,10,1Cgr,98,120,1,15,27,42,59,70,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M4p235b,pMn,135400,522260,1968
3686,1,1Ap,15,20,4,20,50,71,29,85,6.5,-99,-99,-99,-99,-99,-99,-99,-99,1.32,BL,134-2,2,,,,,,,m,M5p235b,Mn,137230,517650,1976
3686,2,1ACw,36,41,1.2,17,48,65,35,85,7.3,-99,-99,-99,-99,-99,-99,-99,-99,1.4,BL,134-2,2,,,,,,,m,M5p235b,Mn,137230,517650,1976
3686,3,1Cg1,48,53,0.8,16,48,64,37,85,7.5,-99,-99,-99,-99,-99,-99,-99,-99,1.43,BL,134-2,2,,,,,,,m,M5p235b,Mn,137230,517650,1976
3686,4,1Cg2,68,73,0.5,12,38,50,51,90,7.6,-99,-99,-99,-99,-99,-99,-99,-99,1.51,BL,134-2,2,,,,,,,m,M5p235b,Mn,137230,517650,1976
3688,1,1Apg1,0,13,7,8,47,55,46,65,5.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,5k4114bw8,Zn,125050,519800,1972
3688,2,1Apg2,13,25,3.9,7,46,54,47,65,5.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,5k4114bw8,Zn,125050,519800,1972
3688,3,1ACg,25,38,2.1,5,40,44,56,65,5.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,5k4114bw8,Zn,125050,519800,1972
3688,4,1Cg1,38,47,0.3,3,20,22,78,70,6.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,5k4114bw8,Zn,125050,519800,1972
3688,5,1Cg2,47,75,0.3,2,11,12,88,70,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,5k4114bw8,Zn,125050,519800,1972
3688,8,3Cgri1,110,120,2.3,45,-99,-99,-99,-99,6.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,s,5k4114bw8,Zn,125050,519800,1972
3688,9,3Cgri2,120,140,1,40,-99,-99,-99,-99,7.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,s,5k4114bw8,Zn,125050,519800,1972
3693,1,1Apg1,11,16,15.8,22,43,65,35,75,5.7,-99,-99,-99,-99,-99,-99,9.2,0.7,1.022,BL,134-2,2,,,,,136,39,m,M4n235b,pMo,123660,522060,1981
3693,2,1Apg2,23,28,29.4,28,51,80,20,75,6.2,-99,-99,-99,-99,-99,-99,17.2,1,0.652,BL,134-2,2,,,,,136,39,m,M4n235b,pMo,123660,522060,1981
3693,4,1Cwg2,42,47,0.5,20,60,81,19,65,7,-99,-99,-99,-99,-99,-99,-99,-99,1.253,BL,134-2,2,,,,,,,m,M4n235b,pMo,123660,522060,1981
3693,5,1Cgr,67,72,0.6,12,44,56,44,70,7.7,-99,-99,-99,-99,-99,-99,-99,-99,1.323,BL,134-2,2,,,,,,,m,M4n235b,pMo,123660,522060,1981
3701,1,1Ap,12,17,43.7,57,27,84,16,190,5.5,-99,-99,-99,-99,-99,-99,23.1,1.6,-99,BL,134-2,2,,,,,136,39,m,1ds,hV,116950,501325,1981
3701,2,1Cw,43,48,88.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,51.8,1.1,-99,BL,134-2,,,,,,136,39,s,1ds,hV,116950,501325,1981
3701,3,1Cr,78,83,90.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,52.8,1,-99,BL,134-2,,,,,,136,39,s,1ds,hV,116950,501325,1981
3704,1,1Apg,0,20,9.3,25,54,79,21,80,6.8,330,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,M4p315a,pMn,115520,511080,1988
3704,2,1Cwg,20,30,1.2,30,52,81,19,80,7.3,197,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,M4p315a,pMn,115520,511080,1988
3704,3,1Cg1,30,75,0.6,26,53,80,20,80,7.6,130,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,M4p315a,pMn,115520,511080,1988
3704,4,1Cg2,75,115,1,10,37,47,53,80,8.1,65,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,M4p315a,pMn,115520,511080,1988
3704,5,1Cgr,130,150,0.7,9,18,26,74,80,7.9,45,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,M4p315a,pMn,115520,511080,1988
3705,1,1Apg,0,22,24.8,19,58,77,23,100,5.8,493,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,v4c32l3,Wo,112100,509670,1988
3705,2,1Cwg,22,32,35.1,37,57,93,7,-99,6.1,210,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,v4c32l3,Wo,112100,509670,1988
3705,3,2Cwgj1,32,45,2.5,41,51,92,8,-99,5.4,227,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,v4c32l3,Wo,112100,509670,1988
3705,4,2Cwgj2,45,65,0.7,37,49,86,14,80,5.8,154,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,v4c32l3,Wo,112100,509670,1988
3705,5,2Cri1,65,90,0.7,27,40,67,33,80,7.5,110,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,v4c32l3,Wo,112100,509670,1988
3705,6,2Cri2,90,120,0.4,14,35,48,52,80,7.8,58,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,v4c32l3,Wo,112100,509670,1988
3707,1,1Apg,5,18,16.1,38,29,67,33,200,5.1,365,257,3,11,78,-99,9.3,0.8,-99,BL,134-2,2,128B,130B,130A,,136,39,m,1sk9,kV,110175,508950,1989
3707,2,1Cwg,18,27,13.3,46,31,77,23,195,5.2,454,285,3,16,89,-99,8.1,0.7,-99,BL,134-2,2,128B,130B,130A,,136,39,m,1sk9,kV,110175,508950,1989
3707,3,2Cw,27,43,20.3,47,51,98,2,-99,5.1,557,319,4,21,120,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,1sk9,kV,110175,508950,1989
3707,6,3Cri,100,120,0.8,8,37,45,55,90,7.9,56,55,2,4,19,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,1sk9,kV,110175,508950,1989
3710,1,1Apg1,5,15,13.8,58,34,93,8,-99,4.3,407,174,8,15,75,-99,8.9,0.7,-99,BL,134-2,2,128B,130B,130A,,136,39,m,1rs,pV,113250,503670,1989
3710,2,1Apg2,15,29,8.3,66,31,96,4,-99,4.8,428,233,6,21,98,-99,5.6,0.5,-99,BL,134-2,2,128B,130B,130A,,136,39,m,1rs,pV,113250,503670,1989
3712,1,1Apg1,0,10,26.2,43,50,93,8,-99,6,-99,-99,-99,-99,-99,-99,-99,1.1,-99,BL,135,2,,,,,,39,m,M4n323c,pMo,129260,518600,1956
3712,2,1Apg2,10,20,20.3,42,51,93,7,-99,5.8,634,578,3,5,39,-99,-99,0.9,-99,BL,135,2,128B,130B,130A,,,39,m,M4n323c,pMo,129260,518600,1956
3712,3,1ACg,20,40,14.5,46,51,97,4,-99,6,809,722,3,5,46,-99,-99,0.6,-99,BL,135,2,128B,130B,130A,,,39,m,M4n323c,pMo,129260,518600,1956
3712,4,1Cg,40,60,3.2,46,52,98,2,-99,6.1,269,241,6,3,26,-99,-99,-99,-99,BL,135,2,128B,130B,130A,,,,m,M4n323c,pMo,129260,518600,1956
3712,5,1Cgri,60,80,2.3,44,53,97,4,-99,7.1,291,245,7,3,25,-99,-99,-99,-99,BL,135,2,128B,130B,130A,,,,m,M4n323c,pMo,129260,518600,1956
3712,6,1Cri1,85,115,3,52,-99,-99,-99,-99,7.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,s,M4n323c,pMo,129260,518600,1956
3712,7,1Cri2,125,175,2.8,48,-99,-99,-99,-99,7.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,s,M4n323c,pMo,129260,518600,1956
3712,8,1Cri3,175,225,2.9,48,-99,-99,-99,-99,7.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,s,M4n323c,pMo,129260,518600,1956
3712,9,1Cri4,225,275,2.2,38,-99,-99,-99,-99,7.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,s,M4n323c,pMo,129260,518600,1956
3760,1,1Ap,5,15,5.5,50,46,96,5,-99,7.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,gM5p324cl7,gMn,264350,587750,1964
3760,2,1Cg,20,30,1.3,47,50,97,4,-99,5.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,gM5p324cl7,gMn,264350,587750,1964
3760,4,2Cg1,45,55,1.2,55,42,97,3,-99,5.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,gM5p324cl7,gMn,264350,587750,1964
3760,5,2Cg2,90,110,5.1,57,41,98,2,-99,3.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,gM5p324cl7,gMn,264350,587750,1964
3763,1,1Ap,10,15,2,22,58,80,20,65,7.1,-99,-99,-99,-99,-99,-99,1.4,0.1,-99,BL,134-2,2,,,,,136,39,m,M5p235a,Mn,122050,525550,1981
3763,2,1Cwg1,32,37,0.2,20,58,78,22,70,7.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,122050,525550,1981
3763,3,1Cwg2,52,57,0.4,29,57,86,14,65,7.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,122050,525550,1981
3763,4,1Cg1,78,83,0.5,27,48,75,25,65,7.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,122050,525550,1981
3783,1,1Ap,10,25,1.1,22,25,47,54,100,7.4,125,-99,-99,-99,-99,-99,0.7,0.1,-99,BL,134-2,2,128B,,,,136,39,m,M5p235a,Mn,123455,538435,1986
3783,2,1Cwg1,37,45,0,48,49,96,4,-99,7.3,248,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,M5p235a,Mn,123455,538435,1986
3783,3,1Cwg2,50,65,0.5,47,45,93,7,-99,7.3,239,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,M5p235a,Mn,123455,538435,1986
3783,4,1Cwg3,100,120,2.3,34,55,89,11,80,7.4,224,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,M5p235a,Mn,123455,538435,1986
3783,6,2Cgr,150,170,0.3,7,28,35,65,110,7.7,50,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,128B,,,,,,m,M5p235a,Mn,123455,538435,1986
3788,1,1Ah,2,8,1.1,2,0,2,98,220,3.5,30,1,0,0,0,-99,0.6,0,-99,BL,134-2,2,128B,130B,130A,,136,39,m,5v511,Zb,108750,536150,1988
3788,2,1EB,8,14,0.2,2,0,2,98,235,4,10,2,0,0,0,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,5v511,Zb,108750,536150,1988
3788,3,1Bw,20,40,0.2,1,3,4,96,250,4.2,13,0,1,0,0,-99,0.2,0,-99,BL,134-2,2,128B,130B,130A,,136,39,m,5v511,Zb,108750,536150,1988
3788,4,1BCw,45,60,0,2,0,2,98,245,4.4,11,2,1,1,0,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,5v511,Zb,108750,536150,1988
3788,5,1Cu1,70,100,0,1,0,2,98,240,4.5,11,0,0,1,0,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,5v511,Zb,108750,536150,1988
3789,1,1Ah,2,8,0.8,2,0,2,98,255,6.7,24,11,1,1,2,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,5t511,Zd,107790,536450,1988
3789,2,1Cu1,45,75,0.1,1,0,1,99,250,7.5,10,0,0,1,0,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,5t511,Zd,107790,536450,1988
3789,3,1Cu2,120,140,0,1,0,2,98,265,7.1,9,0,0,0,0,-99,-99,-99,-99,BL,134-2,2,128B,130B,130A,,,,m,5t511,Zd,107790,536450,1988
3791,1,1Ap1,10,15,1.9,17,41,58,42,70,7.3,-99,-99,-99,-99,-99,-99,1.1,0.1,-99,BL,134-2,2,,,,,136,39,m,M5p225a,Mn,119950,529500,1981
3791,2,1Ap2,23,28,1.5,16,46,62,38,70,7.3,-99,-99,-99,-99,-99,-99,1.1,0.1,-99,BL,134-2,2,,,,,136,39,m,M5p225a,Mn,119950,529500,1981
3791,3,1ACwg,35,40,0.9,20,48,68,32,70,7.4,-99,-99,-99,-99,-99,-99,0.7,0.1,-99,BL,134-2,2,,,,,136,39,m,M5p225a,Mn,119950,529500,1981
3791,4,1Cg1,47,52,0.7,11,46,56,44,70,7.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p225a,Mn,119950,529500,1981
3791,5,1Cg2,68,73,0.8,6,34,40,60,70,7.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p225a,Mn,119950,529500,1981
3832,1,1Aap,3,9,24.8,4,5,9,91,140,4.6,-99,-99,-99,-99,-99,-99,-99,-99,0.668,BL,134-2,2,,,,,,,m,2n422,vWp,261325,559790,1977
3832,2,1Cw,11,17,64.3,-99,-99,-99,-99,-99,3.7,-99,-99,-99,-99,-99,-99,35.3,0.9,0.331,BL,134-2,2,,,,,136,39,s,2n422,vWp,261325,559790,1977
3832,3,1Cu,23,29,89.2,-99,-99,-99,-99,-99,3.2,-99,-99,-99,-99,-99,-99,52.2,0.7,0.161,BL,134-2,2,,,,,136,39,s,2n422,vWp,261325,559790,1977
3832,4,2Ahb,34,40,11.7,2,14,16,84,130,3.3,-99,-99,-99,-99,-99,-99,7,0.2,0.658,BL,134-2,2,,,,,136,39,m,2n422,vWp,261325,559790,1977
3832,5,2Bheb,46,52,5.4,3,12,15,85,130,3.7,-99,-99,-99,-99,-99,-99,-99,-99,1.327,BL,134-2,2,,,,,,,m,2n422,vWp,261325,559790,1977
3832,6,2BCe,63,69,1.7,2,3,5,95,135,4.1,-99,-99,-99,-99,-99,-99,-99,-99,1.587,BL,134-2,2,,,,,,,m,2n422,vWp,261325,559790,1977
3832,7,2Ce,83,89,0.6,2,4,6,94,125,4.4,-99,-99,-99,-99,-99,-99,-99,-99,1.689,BL,134-2,2,,,,,,,m,2n422,vWp,261325,559790,1977
3841,1,1Eu,5,18,0.4,1,2,3,97,175,4.3,-99,-99,-99,-99,-99,-99,-99,0,-99,BL,134-2,2,,,,,,39,m,2r431,Hn,270315,565550,1972
3841,2,1Bhe1,18,26,7,2,3,5,95,175,3.7,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,2r431,Hn,270315,565550,1972
3841,3,1Bhe2,26,36,1.7,2,1,3,97,175,3.9,-99,-99,-99,-99,-99,-99,-99,0,-99,BL,134-2,2,,,,,,39,m,2r431,Hn,270315,565550,1972
3841,4,1BCe,36,55,0.9,1,2,3,97,150,4.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,2r431,Hn,270315,565550,1972
3841,6,1Ce2,82,160,0.1,2,1,3,97,155,4.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,2r431,Hn,270315,565550,1972
3841,7,1Ce3,160,435,0.1,3,2,4,96,180,4.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,2r431,Hn,270315,565550,1972
3850,1,1Aap,0,12,22.9,2,12,13,87,130,4.1,-99,-99,-99,-99,-99,-99,-99,0.4,-99,BL,134-2,2,,,,,,39,m,1hp6,aV,262945,556300,1972
3850,2,2Cw/Cu,12,42,86.4,-99,-99,-99,-99,-99,3.1,-99,-99,-99,-99,-99,-99,-99,1,-99,BL,134-2,2,,,,,,39,s,1hp6,aV,262945,556300,1972
3850,3,2Cu,42,55,94.6,-99,-99,-99,-99,-99,3.1,-99,-99,-99,-99,-99,-99,-99,1.4,-99,BL,134-2,2,,,,,,39,s,1hp6,aV,262945,556300,1972
3850,5,3Bheb,60,65,4.8,4,10,14,86,110,3.5,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,1hp6,aV,262945,556300,1972
3850,6,3BCe1,65,100,2.8,4,19,23,77,95,3.9,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,1hp6,aV,262945,556300,1972
3851,1,1Aap,0,25,11.9,6,7,13,87,145,5,-99,-99,-99,-99,-99,-99,-99,0.5,-99,BL,134-2,2,,,,,,39,m,f1tc,zV,264450,558880,1972
3851,6,4Cr1,140,220,40.6,-99,-99,-99,-99,-99,4.7,-99,-99,-99,-99,-99,-99,-99,0.4,-99,BL,134-2,2,,,,,,39,s,f1tc,zV,264450,558880,1972
3851,7,4Cr2,220,250,26.3,13,16,28,72,135,5.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,f1tc,zV,264450,558880,1972
3851,8,5Cr,250,400,0.1,4,6,10,93,145,4.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,f1tc,zV,264450,558880,1972
3853,1,1Ap,0,24,8.7,3,9,12,87,130,4.2,-99,-99,-99,-99,-99,-99,-99,0.2,-99,BL,134-2,2,,,,,,39,m,2r422,Hn,264440,553610,1972
3853,4,1Bhe1,38,50,3.7,4,11,15,85,130,3.8,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,2r422,Hn,264440,553610,1972
3853,7,1Ce,85,120,0.3,2,7,9,91,120,4.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,2r422,Hn,264440,553610,1972
3861,1,1Ap,0,17,23.9,3,13,16,84,145,4.6,-99,-99,-99,-99,-99,-99,-99,0.6,-99,BL,134-2,2,,,,,,39,m,1hz12,aV,262680,573210,1972
3861,2,1Cu1,17,30,82.4,-99,-99,-99,-99,-99,3.2,-99,-99,-99,-99,-99,-99,-99,1.1,-99,BL,134-2,2,,,,,,39,s,1hz12,aV,262680,573210,1972
3861,3,1Cu2,30,87,83.8,-99,-99,-99,-99,-99,3.7,-99,-99,-99,-99,-99,-99,-99,1.1,-99,BL,134-2,2,,,,,,39,s,1hz12,aV,262680,573210,1972
3861,4,2Cu,90,100,7.6,14,28,42,58,90,3.9,-99,-99,-99,-99,-99,-99,-99,0.2,-99,BL,134-2,2,,,,,,39,m,1hz12,aV,262680,573210,1972
3861,5,3Cu,100,120,43,-99,-99,-99,-99,-99,4.1,-99,-99,-99,-99,-99,-99,-99,0,-99,BL,134-2,2,,,,,,39,s,1hz12,aV,262680,573210,1972
3861,6,4Ce1,120,135,4,7,18,25,75,130,4.1,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,134-2,2,,,,,,39,m,1hz12,aV,262680,573210,1972
3861,7,4Ce2,135,400,0,4,8,12,88,140,4.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,1hz12,aV,262680,573210,1972
3861,8,4Cr,400,520,0.1,4,6,10,90,180,5.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,1hz12,aV,262680,573210,1972
3879,1,1Ap,12,17,13.1,4,8,12,88,115,4.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,m2r422,Hn,248950,546120,1982
3879,2,1Bhe,30,35,1,3,7,10,90,120,5.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,m2r422,Hn,248950,546120,1982
3879,3,1Ce,65,70,0.4,2,5,7,94,100,5.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,m2r422,Hn,248950,546120,1982
3895,3,1Bhe,20,30,11.4,2,3,5,95,180,3.7,-99,-99,-99,-99,-99,-99,-99,0.2,-99,BL,134-2,2,,,,,,39,m,2z431,Hd,236930,531475,1973
3895,4,1Bhg,30,60,1,2,2,4,96,170,4.5,-99,-99,-99,-99,-99,-99,-99,0,-99,BL,134-2,2,,,,,,39,m,2z431,Hd,236930,531475,1973
3895,5,1BCy,60,90,0.3,2,2,4,97,175,4.6,-99,-99,-99,-99,-99,-99,-99,0,-99,BL,134-2,2,,,,,,39,m,2z431,Hd,236930,531475,1973
3895,8,1Cg,115,140,0.1,2,3,5,95,180,4.7,-99,-99,-99,-99,-99,-99,-99,0,-99,BL,134-2,2,,,,,,39,m,2z431,Hd,236930,531475,1973
3909,1,1Aap,0,22,7,0,13,13,87,170,5.1,-99,-99,-99,-99,-99,-99,-99,0.3,-99,BL,135,2,,,,,,39,m,2q432m5,cHn,230025,525900,1962
3909,2,1Aa,22,45,11.6,1,13,14,87,170,4.6,-99,-99,-99,-99,-99,-99,-99,0.4,-99,BL,135,2,,,,,,39,m,2q432m5,cHn,230025,525900,1962
3909,5,2Ah,90,100,37.4,0,12,12,88,-99,3.7,-99,-99,-99,-99,-99,-99,-99,0.8,-99,BL,135,2,,,,,,39,m,2q432m5,cHn,230025,525900,1962
3909,6,3Bheb,100,110,3.7,0,6,6,93,155,3.9,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,135,2,,,,,,39,m,2q432m5,cHn,230025,525900,1962
3909,8,3BCe2,115,125,4.3,0,11,11,89,165,3.8,-99,-99,-99,-99,-99,-99,-99,0.1,-99,BL,135,2,,,,,,39,m,2q432m5,cHn,230025,525900,1962
3928,1,1Apg,5,14,9.2,21,29,50,50,-99,4.8,-99,-99,-99,-99,-99,-99,-99,0.4,-99,BL,134-2,2,,,,,,39,m,gM5p323cp7,gMn,157050,542000,1963
3928,2,1Cg1,15,30,3.1,49,39,88,11,-99,4.9,-99,115,6,5,120,-99,-99,-99,-99,BL,135,2,,130B,130A,,,,m,gM5p323cp7,gMn,157050,542000,1963
