Profile_id,X,Y,Year,Land cover
4367,181250,577445,1961,Grasland
4402,136100,478900,1993,Bos
4404,135750,480000,1993,Bos
4406,123950,473900,1993,Bos
4407,113950,460850,1993,Bos
4409,188000,380000,1993,Bos
4412,190800,381150,1993,Bos
4414,228400,577200,1993,Bos
4415,230700,540900,1993,Bos
4416,227800,557750,1993,Bos
4422,122000,399000,1990,Bos
4426,166000,379000,1990,Bos
4428,205000,400000,1990,Bos
4429,199000,397000,1990,Bos
4430,172000,362000,1990,Bos
4432,247000,473000,1990,Bos
4437,212000,435000,1990,Bos
4438,171000,404000,1990,Bos
4440,144000,458000,1990,Bos
4442,143000,465000,1990,Bos
4449,183590,553060,1969,Grasland
4451,183490,557730,1990,Grasland
4453,194700,550310,1968,Grasland
4460,214800,568750,1964,Grasland
4465,180800,570600,1968,Grasland
4468,183840,565275,1969,Grasland
4474,197850,569900,1968,Grasland
4479,164850,574640,1964,Grasland
4480,163050,562975,1964,Grasland
4482,176390,565700,1959,Grasland
4483,178290,572050,1961,Grasland
4484,173290,572475,1961,Grasland
4487,163935,557990,1964,Grasland
4490,170025,562125,1961,Grasland
4491,179140,550300,1965,Grasland
4492,183400,574250,1959,Grasland
4493,156505,550350,1961,Grasland
4496,159150,559750,1965,Grasland
4498,161800,569775,1962,Fruitteelt
4499,167150,567850,1963,Grasland
4504,169800,574150,1964,Grasland
4508,116200,562125,1981,Grasland
4516,159200,567815,1965,Akkerbouw
4517,159400,574750,1966,Grasland
4520,273300,579650,1979,Akkerbouw
4522,112775,566550,1981,Bos
4544,245225,582150,1977,Akkerbouw
4550,257695,582440,1977,Akkerbouw
4563,212000,496000,1990,Bos
4565,197000,491000,1990,Bos
4567,257000,495000,1990,Bos
4568,222000,483000,1990,Heide en natuur
4570,227000,487000,1990,Bos
4572,163000,456000,1990,Bos
4580,209000,552000,1990,Bos
4581,198000,551000,1990,Bos
4585,225000,571000,1990,Bos
4587,167000,544000,1990,Bos
4588,255000,539000,1990,Bos
4593,215000,568000,1990,Bos
4600,247000,553000,1990,Bos
4602,274000,565000,1990,Bos
4603,272000,551000,1990,Bos
4605,183000,533000,1990,Bos
4606,206000,547000,1990,Bos
4608,218000,548000,1990,Bos
4609,219000,544000,1990,Bos
4612,227000,538000,1990,Bos
4619,242000,537000,1990,Bos
4620,229000,502000,1990,Bos
4621,234000,507000,1990,Bos
4672,223275,459290,1997,Grasland
4720,165500,383250,1996,Grasland
4732,143800,452900,1993,Bos
4733,176200,438300,1993,Bos
4734,147300,427200,1993,Bos
4737,226000,455000,1990,Bos
4740,247000,439000,1990,Bos
4741,137000,404000,1990,Bos
4742,154000,401000,1990,Bos
4743,183000,423000,1990,Bos
4744,111000,395000,1990,Bos
4751,206000,380000,1990,Bos
4752,145000,369000,1990,Bos
4753,146000,365000,1990,Bos
4768,222000,527000,1990,Bos
4770,253000,546000,1990,Bos
4774,248000,491000,1990,Bos
4775,257000,489000,1990,Bos
4780,152000,377000,1990,Bos
4783,198650,358500,1993,Bos
4784,197400,351250,1993,Bos
4785,153050,444050,1993,Bos
4786,131300,428750,1993,Bos
4788,158400,445050,1993,Bos
4789,146600,438200,1993,Bos
4792,180900,428200,1993,Bos
4793,203550,350250,1993,Bos
4794,140950,421300,1993,Bos
4796,167300,430200,1993,Bos
4797,181700,420750,1993,Bos
4798,226000,539000,1995,Bos
4799,139000,453600,1993,Bos
4816,101447,463785,1999,Grasland
4825,172000,472000,1990,Bos
4826,149920,443948,2001,Fruitteelt
4834,189648,569605,1998,Grasland
4841,242780,445059,1998,Grasland
4848,222040,515315,2000,Grasland
4856,136850,464690,2000,Heide en natuur
4914,134650,431350,1993,Bos
4915,158400,426500,1993,Bos
4916,141200,422700,1993,Bos
4918,208050,443950,1993,Bos
4919,212800,445200,1993,Bos
4920,206900,451400,1993,Bos
4931,202000,319000,1995,Bos
4933,189000,462000,1995,Bos
4935,215000,459000,1995,Bos
4936,191000,418000,1995,Bos
4937,175000,473000,1995,Bos
4940,221000,463000,1995,Bos
4952,135000,377000,1995,Bos
4953,138000,383000,1995,Bos
4955,185000,477000,1995,Bos
4956,187000,477000,1995,Bos
4959,201000,496000,1995,Bos
4961,206000,482000,1995,Bos
4963,245000,477000,1995,Bos
4966,159000,452000,1995,Bos
4972,242600,445800,1993,Bos
4973,241500,444500,1993,Bos
4975,265800,523800,1993,Bos
4976,264900,520600,1993,Bos
4979,192800,380450,1993,Bos
4981,195150,533400,1993,Bos
4982,196650,532500,1993,Bos
4984,250350,460350,1993,Bos
4989,202100,449850,1992,Bos
4990,192100,417940,1992,Bos
4991,192450,424900,1992,Bos
4992,181960,327025,1992,Bos
4993,182000,333000,1992,Bos
4994,186025,337040,1992,Bos
4997,189000,327950,1992,Bos
4998,175000,314900,1992,Bos
4999,188250,316070,1992,Bos
5000,183360,319460,1992,Bos
5002,196400,308150,1992,Bos
5009,180550,314250,1992,Bos
5010,180600,310950,1992,Bos
5011,179750,311250,1992,Bos
5012,180400,312450,1992,Bos
5015,198900,331550,1992,Bos
5016,182875,331340,1992,Bos
5018,187000,337350,1992,Bos
5024,194000,323000,1992,Bos
5027,144820,364800,1998,Akkerbouw
5036,151750,381775,1998,Bos
5051,216000,477000,1990,Bos
5156,150925,602670,1992,Heide en natuur
5194,124300,494225,1992,Heide en natuur
5206,126886,454953,2002,Grasland
7635,179200,444400,1995,Bos
7639,177800,444700,1995,Bos
7655,177600,445800,1995,Bos
7667,182600,442500,1995,Bos
7679,167100,442700,1995,Bos
7719,226300,564100,1995,Bos
7723,180300,465300,1995,Bos
7783,191100,419800,1995,Bos
7795,211300,440700,1995,Bos
7815,216900,543400,1995,Bos
7819,153800,456000,1995,Bos
7847,194500,457500,1995,Bos
7851,193100,451000,1995,Bos
7855,189900,453500,1995,Bos
7859,182400,468600,1995,Bos
7871,182500,450700,1995,Bos
7875,169400,411900,1995,Bos
7887,206900,612300,1995,Bos
8083,170636,413584,2002,Grasland
8087,146450,393153,2002,Grasland
8095,140644,390856,2002,Grasland
8099,129626,411030,2002,Heide en natuur
8103,94192,400029,2002,Grasland
8107,206865,388399,2002,Grasland
8111,206784,387109,2002,Grasland
8115,139309,370433,2002,Heide en natuur
8127,102149,391636,2002,Heide en natuur
8131,185256,371534,2002,Grasland
8159,164897,368974,2002,Grasland
8167,161952,368608,2002,Grasland
8235,114745,417750,1994,Bos
8362,137395,471930,2003,Bos
8363,99394,485578,2003,Bos
8365,142820,472726,2003,Bos
8399,99229,494943,2003,Heide en natuur
8412,122575,511866,2003,Akkerbouw
8445,205055,583150,2003,Grasland
8449,178151,375702,2003,Akkerbouw
8454,198154,529272,2003,Akkerbouw
8463,268345,550663,2003,Grasland
8480,89020,407367,2003,Grasland
8491,150480,482177,2003,Bos
8495,244954,484688,2003,Grasland
8508,129404,527457,2003,Grasland
8509,120860,517890,2003,Grasland
8535,238731,559143,2010,Grasland
8563,119708,461344,2011,Grasland
8573,108570,389589,2007,Grasland
8588,198515,540794,2011,Grasland
